,0,1,2
0,,,
1,,,
2,,,
3,,,
4,,,
5,"Check check check One two Spitting in a wishing well Blown to hell crash I'm the last splash I know you little libertine I know you're a real coocoo Want you coocoo cannonball Want you coocoo cannonball In the shade, in the shade In the shade, in the shade I know you little libertine I know you're a cannonball I'll be your whatever you want The bong in this reggae song In the shade, in the shade Want you coocoo cannonball Want you coocoo cannonball Spitting in a wishing well Blown to hell Crash I'm the last splash I'll be your whatever you want The bong in this reggae song Want you coocoo cannonball Want you coocoo cannonball In the shade, in the shade In the shade, in the shade",,
6,"Let us talk no more, let us go to sleep, Let the rain fall on the window pane, And fill the castle keep, I am weary now, weary to my bones, Weary from the traveling, And the endless country roads, That brought us here tonight, for this weekend, And a chance to work it out, For we cannot live together, and we cannot live apart, It's the classical dilemma between the head and the heart; She is sleeping now, softly in the night, And in my heart of darkness she has been the only light, I am lost in love, looking at her face, And still I hear the voice of reason, Telling me to chase these dreams away, Oh here we go again, we're divided from the start, For we cannot live together, and we cannot live apart, It's the classical dilemma between the head and the heart, The head and the heart; Now the dawn begins, and still I cannot sleep, My head is spinning round but now the way is clear to me, There is nothing left, nothing left to show, The jury and the judge will see, it's time to let her go, Now hear the heart, I believe that time will show, She will always be a part of my world, I don't want to see her go, So I plead my case to hear the heart, And stay It's time to let her go, I don't want to let her go It's time to let her go, I don't want to let her go It's time to let her go, I don't want to let her go It's time to let her go And in this classical dilemma, I find for, the heart.",,
7,I hurt myself today To see if I still feel I focus on the pain The only thing that's real The needle tears a hole The old familiar sting Try to kill it all away But I remember everything What have I become My sweetest friend Everyone I know Goes away in the end And you could have it all My empire of dirt I will let you down I will make you hurt I wear this crown of thorns Upon my liars chair Full of broken thoughts I cannot repair Beneath the stains of time The feelings disappear You are someone else I am still right here What have I become My sweetest friend Everyone I know Goes away in the end And you could have it all My empire of dirt I will let you down I will make you hurt If I could start again A million miles away I will keep myself I would find a way,,
8,"Show me a smile on your silly face 'Cause I'm getting tired of this human race My darling The eyes of a child hasn't went away And how many heroes have we killed today? I can fly higher than an airplane And I have the voice of a thousand hurricanes My darling Men of destruction reap iniquity When heroes of courage die with dignity How many weapons did I help create? And how many lives will it devastate? My darling I think of all the days in my life Where I could have done something more Yes I remember the days in my life Where I could have done something more There is never a day that goes by That's a good day to die Please open your eyes to the millions of lives That will senselessly die in the wars I think of all the days in my life Where I could have done something more Yeah, I remember the days in my life Where I should have done something more I think of all the days in my life Where I could have done something more Yes, I remember the days in my life Where I should have done something more There was never a day that goes by That's a good day to die Please open your eyes, oh There was never a day that went by That's a good day to die Won't you please close your eyes? For the millions of lives Who have senselessly died in a war?",,
9,,,
