,0,1
0,,
1,Sah ein Mädchen ein Röslein stehen Blühte dort in lichten Höhen Sprach sie ihren Liebsten an Ob er es ihr steigen kann Sie will es und so ist es fein So war es und so wird es immer sein Sie will es und so ist es Brauch Was sie will bekommt sie auch Tiefe Brunnen muss man graben Wenn man klares Wasser will Rosenrot oh Rosenrot Tiefe Wasser sind nicht still Der Jüngling steigt den Berg mit Qual Die Aussicht ist ihm sehr egal Hat das Röslein nur im Sinn Bringt es seiner Liebsten hin Sie will es und so ist es fein So war es und so wird es immer sein Sie will es und so ist es Brauch Was sie will bekommt sie auch Tiefe Brunnen muss man graben Wenn man klares Wasser will Rosenrot oh Rosenrot Tiefe Wasser sind nicht still Tiefe Brunnen muss man graben Wenn man klares Wasser will Rosenrot oh Rosenrot Tiefe Wasser sind nicht still An seinen Stiefeln bricht ein Stein Will nicht mehr am Felsen sein Und ein Schrei tut jedem kund Beide fallen in den Grund Sie will es und so ist es fein So war es und so wird es immer sein Sie will es und so ist es Brauch Was sie will bekommt sie auch Tiefe Brunnen muss man graben Wenn man klares Wasser will Rosenrot oh Rosenrot Tiefe Wasser sind nicht still Tiefe Brunnen muss man graben Wenn man klares Wasser will Rosenrot oh Rosenrot Tiefe Wasser sind nicht still,
2,She looks as an African Queen She eating twelve chapattis and cream She tastes as Mongolian lamb She coming from out of Bahran What a shame Mary Jane had a pain at the party What a shame Mary Jane what a shame Mary Jane had a pain at the party She like to be married with Yetti He groving such cooky spaghoetti She jumping as Mexican bean To make that her body morphine What a shame Mary Jane had a pain at the party What a shame Mary Jane what a shame Mary Jane had a pain at the party She catch Patagonian pancake With that one and gin party makes She having always good contact She making with apple and contract What a shame Mary Jane had a pain at the party What a shame Mary Jane what a shame Mary Jane had a pain at the party All together now What a shame Mary Jane had a pain at the party What a shame what what a shame Mary Jane had a pain at the party What a shame what a shame what a shame what a shame Mary Jane had a pain at the party What a shame what a shame what a shame what a shame Mary Jane had a pain at the party What a shame what a shame Mary Jane had a pain at the party What a shame what a shame what a shame Mary Jane had a pain at the party What a shame Mary Jane Mary Jane had a pain at the party What a shame Mary Jane what a shame Mary Jane had a pain at the party What a shame Mary Jane what a shame She looks as an African Queen She tastes as Mongolian lamb What a shame Mary Jane what a shame Mary Jane had a pain at the party All together now What a shame Mary Jane had a pain at the party What a shame what what a shame Mary Jane had a pain at the party What a shame what a shame what a shame what a shame [That's it. Before we got taking no what] (cut down),
3,,
4,Never thought you knew me Never thought of you with me Always fighting in the dark Before Never got to tell you I don't know what I mean to you No need to explain Anymore But I'd cry I would die if I lost you And I'd cry When I think about us It's only me that comes between us It's only me  That closes the door But I'd cry I would die if I lost you And I'd cry And you know you held me up Held me to the sun When I was yours And I know I let you down Let you down The day that I was gone But I'd cry I would die if I lost you And I'd cry But I'd cry I would die if I lost you And I'd cry,
5,,
6,,
7,"Come on, come out The weather is warm Come on, come out Said come on, come on A spot in the shade Where oranges fall A spot in the shade Away from it all Watching the sky Watching a painting coming to life Shifting and shaping Staying inside It all goes it all goes by A blanket unfolds A blanket tonight The pieces of gold They light up your eyes Now we're alone Now we're alive Watching the sky Watching the painting come to life Shifting and shaping Staying inside It all goes it all goes it all goes by Stopping the time Rushing, waiting Leave it behind Shifting and shaping Keep it inside It all goes it all goes it all goes by It all goes passing by It all goes passing by",
8,,
9,,
10,,
11,,
12,,
13,"Are you going to live your life wondering Standing in the back looking around? Are you going to waste your time thinking How you've grown up Or how you missed out? Things are never gonna be the way you want Where's it going to get you acting serious? Things are never going to be quite what you want Even at twenty five you got to start sometime I'm on my feet I'm on the floor I'm good to go All I need is just to hear a song I know I wanna always feel like part of this was mine I wanna fall in love tonight Are you gonna to live your life standing in the back looking around? Are you going to waste your time? Gotta make a move or you'll miss out Someone's gonna to ask you what it's all about Stick around nostalgia won't let you down Someone's gonna to ask you what's it's all about What are you gonna have to say for yourself? I'm on my feet I'm on the floor I'm good to go All I need is just to hear a song I know I wanna always feel like part of this was mine I wanna fall in love tonight Crimson and clover, over and over Crimson and clover, over and over Our house in the middle of the street (Crimson and clover, over and over) Why did we ever meet Start in my rock and roll fantasy (Crimson and clover, over and over) Don't don't don't let's start (Crimson and clover, over and over) Why did we ever part Kick start my rock and roll heart I'm on my feet I'm on the floor I'm good to go So come on Davey, sing me something that I know I wanna always feel like part of this was mine I wanna fall in love tonight Here, tonight I wanna fall in love tonight Here tonight I wanna always feel like part of this was mine I wanna fall in love tonight I wanna fall in love tonight I wanna fall in love tonight.",
14,,
15,,
