,0,1,2,3,4,5,6,7,8
0,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,"She's got a smile that it seems to me Reminds me of childhood memories Where everything Was as fresh as the bright blue sky Now and then when I see her face She takes me away to that special place And if I stared too long I'd probably break down and cry Oh, Sweet child o' mine Oh, Sweet child of mine Her hair reminds me of a warm safe place Where as a child I'd hide And pray for the thunder And the rain To quietly pass me by She's got eyes of the bluest skies As if they thought of rain I hate to look into those eyes And see an ounce of pain Oh, Sweet child o' mine Oh, Sweet child of mine Oh, Sweet child o' mine Oh, Sweet child of mine",,,,,,,,
9,"I got my first real six-string Bought it at the five-and-dime Played it 'til my fingers bled Was the summer of sixty-nine Me and some guys from school Had a band and we tried real hard Jimmy quit, Jody got married I should've known we'd never get far Oh, when I look back now That summer seemed to last forever And if I had the choice Yeah, I'd always wanna be there Those were the best days of my life Ain't no use in complainin' When you've got a job to do Spent my evenings down at the drive-in And that's when I met you, yeah Standin' on your mama's porch You told me that you'd wait forever Oh, and when you held my hand I knew that it was now or never Those were the best days of my life Oh, yeah Back in the summer of sixty-nine, oh Man, we were killin' time, we were young and restless We needed to unwind I guess nothin' can last forever, forever, no Yeah And now the times are changin' Look at everything that's come and gone Sometimes when I play that old six-string I think about you, wonder what went wrong Standin' on your mama's porch You told me that it'd last forever Oh, and when you held my hand I knew that it was now or never Those were the best days of my life Oh, yeah Back in the summer of sixty-nine, oh It was the summer of sixty-nine, oh, yeah Me and my baby in sixty-nine, oh It was the summer, the summer, the summer of sixty-nine, yeah",,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,On a summer day you can hear her call But in a funny way she reminds you of the fall Through the fields an' the streams an' the lakes an' the trees And the grass and the logs run all my dogs And I am home again In the summer autumn air You can see her smile But in a funny way she reminds you of a child In the autumn air You feel her soul unfold And in a funny way you feel your own explode Through the fields an' the streams an' the lakes an' the trees And the grass and the logs run all my dogs And I am home again On a winter day You can hear her call But in a funny way when the snow begins to fall On a winter day You can hear her call And in a funny way You love her even more Through the fields an' the streams an' the lakes an' the trees And the grass and the logs run all my dogs And I am home again,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
