,0,1,2,3,4
0,"Not gonna get us They're not gonna get us Not gonna get us Not gonna get us They're not gonna get us They're not gonna get us Not gonna get us They're not gonna get us Not gonna get us Starting from here, let's make a promise You and me, let's just be honest We're gonna run, nothing can stop us Even the night that falls all around us Soon there will be laughter and voices Beyond the clouds over the mountains We'll run away on roads that are empty Lights from the airfield shining upon you Nothing can stop us, not now, I love you They're not gonna get us, They're not gonna get us Nothing can stop us, not now, I love you They're not gonna get us, They're not gonna get us They're not gonna get us Not gonna get us Not gonna get us Not gonna get us Not gonna get us Get us We'll run away, keep everything simple Night will come down, our guardian angel We rush ahead, the crossroads are empty Our spirits rise, they're not gonna get us My love for you, always forever Just you and me, all else is nothing Not going back, not going back there They don't understand, They don't understand us They don't understand us Not gonna get us Not gonna get us Not gonna get us They're not gonna get us, Not gonna get us Nothing can stop us, not now, I love you They're not gonna get us, They're not gonna get us Nothing can stop us, not now, I love you They're not gonna get us, They're not gonna get us They're not gonna get us They're not gonna get us Not gonna get us Not gonna get us Not gonna get us Not gonna get us",,,,
1,,,,,
2,"There are Jews in the world There are Buddhists There are Hindus and Mormons, and then There are those that follow Mohammed, but I've never been one of them I'm a Roman Catholic, And have been since before I was born, And the one thing they say about Catholics is: They'll take you as soon as you're warm You don't have to be a six-footer You don't have to have a great brain You don't have to have any clothes on You're A Catholic the moment Dad came, Because Every sperm is sacred Every sperm is great If a sperm is wasted, God gets quite irate Every sperm is sacred Every sperm is great If a sperm is wasted, God gets quite irate Let the heathen spill theirs On the dusty ground God shall make them pay for Each sperm that can't be found Every sperm is wanted Every sperm is good Every sperm is needed In your neighborhood Hindu, Taoist, Mormon, Spill theirs just anywhere, But God loves those who treat their Semen with more care Every sperm is sacred Every sperm is great If a sperm is wasted, CHILDREN: God get quite irate Every sperm is sacred BRIDE and GROOM: Every sperm is good Every sperm is needed CARDINALS: In your neighbourhood! Every sperm is useful Every sperm is fine God needs everybody's Mine! And mine! And mine! Let the Pagan spill theirs O'er mountain, hill, and plain HOLY STATUES: God shall strike them down for Each sperm that's spilt in vain Every sperm is sacred Every sperm is good Every sperm is needed In your neighborhood Every sperm is sacred Every sperm is great If a sperm is wasted, God gets quite iraaaaaate!",,,,
3,,,,,
4,,,,,
5,,,,,
6,"Watched you float away on a wave of want and misery Now I've got to find you I watched you float away on whatever caught your eye Now I've got to find you 'Cause I've got to keep your head above the water While the current pulls me under I will hang my life in the space between the noose and your neck I won't let you die just yet I will love you even when you won't let me And you will kill me by doing nothing But I know it's not you, my dear I know it's not you I know it's not you, my dear, It's the nothing that kills Nothing, nothing, nothing I can't save you  Control is something out of mine No, I can't save you Control is something out of my control I will love you even when you won't let me And you will kill me by doing nothing But I know it's not you, my dear I know it's not you I know it's not you, my dear, it's the nothing that kills Nothing, nothing, nothing I can't save you but I will love you No, I can't save you but I will love you I'd like to think that this is love Lost in second chances without end This is romance This is romance I would like to think that this my lost in second chances without end I would like to think that this is love lost Second chances without end",,,,
7,,,,,
8,I give her all my love That's all I do And if you saw my love You'd love her too I love her She gives my everything And tenderly The kiss my lover brings She brings to me And I love her A love like ours Could never die As long as I Have you near me Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her Bright are the stars that shine Dark is the sky I know this love of mine Will never die And I love her,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,Everyone Everyone around here Everyone is so near It's holding on It's holding on Everyone Everyone is so near Everyone has got the fear It's holding on It's holding on It's holding on It's holding on It's holding on,,,,
14,,,,,
15,"Ay tu primo colorado con barba camburada y lleno de ballena inclinandose al sol tu rayo de luz roja besando nuestra boca el beso que te sopla huele a alcohol ay tus tres ojos lunares extraterrestriales entran cuando sales, por eso y no se ven ay tu barba colorada traviesa y rebelde me afeito con espada, pero devuelve! oh la la la la la la la... si la noche te persigue entregate a ella o dile que tienes dolor de cabeza sombrita de reflejo, dame algo tierno me como tu amor y cago el infierno ay oh oh oh oh oh ay oh oh oh oh oh berno oh oh berne berne berne oh oh ah la la la la la la la... ay tus ojos colorados azul y anaranjados amarillo y verde y maron mi amor envuelto en tu corazon no lo sueltes por favor somos elefantes y serpientes semejantes tomando agua ardiente en el sol en el sol en el sol en el sol la la la la la la la la la la la",,,,
16,"Ah, push it Ah, push it Oooh, baby, baby Baby, baby Oooh, baby, baby Baby, baby Get up on this! Ow! Baby! Salt and Pepa's here! [Now wait a minute, y'all This dance ain't for everybody Only the sexy people So all you fly mothers, get on out there and dance Dance, I said!] Salt and Pepa's here, and we're in effect Want you to push it, babe Coolin' by day then at night working up a sweat C'mon girls, let's go show the guys that we know How to become number one in a hot party show Now push it Ah, push it, push it good Ah, push it, push it real good Ah, push it, push it good Ah, push it, p-push it real good Hey! Ow! Push it good! Oooh, baby, baby Baby, baby Oooh, baby, baby Baby, baby Push it good Push it real good Ah, push it Ah, push it Yo, yo, yo, yo, baby-pop Yeah, you come here, gimme a kiss Better make it fast or else I'm gonna get pissed Can't you hear the music's pumpin' hard like I wish you would? Now push it Push it good Push it real good Push it good P-push it real good Ah, push it Get up on this! Boy, you really got me going You got me so I don't know what I'm doing Ah, push it",,,,
17,,,,,
18,,,,,
19,"Perfect little spouses In perfect little houses It's family fun time Let's commit a hate crime If I can't be loved Then I'll be hated I'm disconnected I'm uninspired I'm burning in water I'm drowning in fire I'm trapped inside my mind Beneath these piles of stinking life You use this abuse to keep me conquered You're so absurdly common Vacant faces Brainless strangers Sputtering, stuttering insect language I'm the creature you created Everyday I grow jaded Calloused and exaspered If I'll never be loved Then I'll be hated I'm the one of the freaks, the faggots, the geeks, the savages Rogues, rebels, dissident devils, artists, martyrs, infidels Do we sit still Under attack Or do we start pushing back? Never back up Never back down And fight Rise, rebel, resist Rise, rebel, make a fist, resist Rise, rebel, resist Rise, rebel, make a fist, resist I'm human pollution I covet retribution I'm just a big mistake A defect you can subjugate Your ridicule is just typical antics Spineless, mindless, tragic, fanatic Puritan, bigot, lunatic, hypocrite To save my soul from disaster Self-destruction could be the answer If I'll never be loved Then I'll be hated I'm the one of the freaks, the faggots, the geeks, the savages Rogues, rebels, dissident devils, artists, martyrs, infidels Do we sit still Under attack Or do we start pushing back? Never back up Never back down And fight Rise, rebel, resist Rise, rebel, make a fist, resist Rise, rebel, resist Rise, rebel, make a fist, resist Masochistic So sadistic All they see is another statistic Maybe I'm a misfit, maybe I'm different It will never be an average existence Masochistic So sadistic All they see is another statistic If I can't be loved Then I'll be hated It's family fun time Let's commit a hate crime War, war Rise, rebel, resist Rise, rebel, make a fist, resist Rise, rebel, resist Rise, rebel, make a fist, resist I'm the one of the freaks, the faggots, the geeks, the savages Rogues, rebels, dissident devils, artists, martyrs, infidels Do we sit still Under attack Or do we start pushing back? Never back up Never back down And fight War, war",,,,
20,,,,,
21,I live cement I hate this street Give dirt to me I bite lament This human form Where i was born I now repent Caribou  Repent Repent Give me wide Ground to run And foregone Lets me knife Knife me lets I will get What i like Caribou Repent Repent,I live cement I hate this street Give dirt to me I bite lament This human form Where i was born I now repent Caribou  Repent Repent Give me wide Ground to run And foregone Lets me knife Knife me lets I will get What i like Caribou Repent Repent,,,
22,,,,,
23,,,,,
24,,,,,
25,,,,,
