,0,1,2,3,4,5,6,7
0,,,,,,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,"Cuckoo! Ten silver spoons coming after me, One life with one dream on repeat, I'll escape if I try hard enough, Till, King of the Jungle calls my bluff, Oh Lord, (Oh Lord) I have been told, (I have been told) I must take the unforsaken road (Forsaken road) There's a fork in the road, I'll do as as I am told, Well, I don't know, (Don't know don't know don't know don't know) Who...I want to be. Cuckoo! You say Y-E-S to everything, Will that guarantee you a win? Do you think you will be good enough, To love others and to be loved? Oh Lord, (Oh Lord) Now I can see, (Now I can see) The cutlery will keep on chasing me, (Forsaken road) There's a fork in the road, I'll do as as I am told, Well, I don't know, (Don't know, don't know, don't know, don't know) Who...I want to be. We are the spoons, they're telling me We scooped our way into your dreams, To knock the knives out bloody cold, And lead you down the unforsaken road. There's a fork in the road, I'll do as as I am told, Well, I don't know, (Don't know, don't know, don't know, don't know) Who...I want to be",,,,,,,
11,,,,,,,,
12,,,,,,,,
