,0,1,2,3,4,5,6,7,8,9
0,"So are we lost or do we know  Which direction we should go  Sit around and wait for someone to take our hands and lead the way  'Cause every day we're getting older  And every day we all get colder  We're sick of waiting for our awnsers  Wake up, Wake up, Wake up,  Yeah so tired of waiting, waiting for ourselves  Wake up, Wake up, Wake up,  Yeah so sick of waiting, for us to make a move  Are we meant to take the pain  Should we sit around and wait  All we need is to say all the words that  I never liked, you like to make us hate (???)  'Cause every day we're getting older  And every day we all get colder  We're sick of waiting for our awnsers  Wake up, Wake up, Wake up,  Yeah so tired of waiting, waiting for ourselves  Wake up, Wake up, Wake up,  Yeah so sick of waiting, for us to make a move  Wake up, Wake up, Wake up,  And we will never lose  Wake up, Wake up, Wake up,  It's time to make a move  Wake up, Wake up, Wake up,  And we will never lose  Wake up, Wake up, Wake up,  it's time to make a... move!  It's not enough  To let it ? Where'd it go ? It's all wrong  So sick of waiting for our answers...  Wake up, Wake up, Wake up,  Yeah so tired of waiting, waiting for ourselves  Wake up, Wake up, Wake up,  Yeah so sick of waiting, for us to make a move  Wake up, Wake up, Wake up,  Yeah so tired of waiting, waiting for ourselves  Wake up, Wake up, Wake up,  Yeah so sick of waiting, for us to make a move (move, move, move, move).",,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,"All the leaves are brown (all the leaves are brown) And the sky is grey (and the sky is grey) I've been for a walk (I've been for a walk) On a winter's day (on a winter's day) I'd be safe and warm (I'd be safe and warm) If I was in L.A. (if I was in L.A.) California dreamin' (California dreamin') On such a winter's day Stopped into a church I passed along the way Well, I got down on my knees (got down on my knees) And I pretend to pray (I pretend to pray) You know the preacher like the cold (preacher like the cold) He knows I'm gonna stay (knows I'm gonna stay) California dreamin' (California dreamin') On such a winter's day All the leaves are brown (all the leaves are brown) And the sky is grey (and the sky is grey) I've been for a walk (I've been for a walk) On a winter's day (on a winter's day) If  I didn't tell her (if I didn't tell her) I could leave today (I could leave today) California dreamin' (California dreamin') On such a winter's day (California dreamin') On such a winter's day (California dreamin') On such a winter's day",,,,,,,,,
13,"N-now th-that that don't kill me Can only make me stronger I need you to hurry up now 'Cause I can't wait much longer I know I got to be right now 'Cause I can't get much wronger Man I've been waiting all night now That's how long I been on ya I need you right now Let's get lost tonight You could be my black Kate Moss tonight Play secretary, I'm the boss tonight And you don't give a fuck what they all say, right? Awesome, the Christian in Christian Dior Damn, they don't make em like this anymore I ask, cause I'm not sure: Do anybody make real shit anymore? Bow in the presence of greatness 'Cause right now thou hast forsaken us You should be honored by my lateness That I would even show up to this fake shit So go ahead, go nuts, go apeshit Specially on my Pastel, on my Bape shit Act like you can't tell who made this New Gospel homey, take six and take this, haters N-now th-that that don't kill me Can only make me stronger I need you to hurry up now 'Cause I can't wait much longer I know I got to be right now 'Cause I can't get much wronger Man I've been waiting all night now That's how long I been on ya I need you right now I don't know if you got a man or not If you made plans or not God put me in the plans or not I'm tripping, this drink got me saying a lot But I know that God put you in front of me So how the hell could you front on me? There's a thousand yous, there's only one of me I'm tripping, I'm caught up in the moment, right? 'Cause it's Louis Vuitton Don night So we gonna do everything that Kan like Heard they'd do anything for a Klondike Well, I'd do anything for a blonde dyke And she'll do anything for the limelight And will do anything when the time's right Uh, baby you're makin' it (harder, better, faster, stronger) N-now th-that that don't kill me Can only make me stronger I need you to hurry up now 'Cause I can't wait much longer I know I got to be right now 'Cause I can't get much wronger Man I've been waiting all night now That's how long I been on ya I need you right now You know how long I've been on ya? Since Prince was on Apollonia Since O.J. had isotoners Don't act like I never told ya N-now th-that that don't kill me Can only make me stronger I need you to hurry up now 'Cause I can't wait much longer I know I got to be right now 'Cause I can't get much wronger Man I've been waiting all night now That's how long I been on ya I need you right now You know how long I've been on ya? Since Prince was on Apollonia Since O.J. had isotoners Don't act like I never told ya You know how long I've been on ya? Since Prince was on Apollonia Since O.J. had isotoners Don't act like I never told ya",,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,"I would dig a thousand holes to lay next to you I would dig a thousand more if I needed to I look around the grave for an escape route of old routines There doesn't seem to be any other way Cause I've started falling apart I'm not savoring life I've forgotten how good it could be to feel alive Crazy as it sounds, you won't feel as low as you feel right now At least that's what I've been told by everyone I whisper empty sounds in your ear and hope that you won't let go Take the pieces and build them skywards 'Cause I've started falling apart I'm not savoring life I've forgotten how good it could be to feel alive I've started falling apart I'm not savoring life Take the pieces and build them skywards I've forgotten how good it could be to feel alive Take the pieces and build them skywards I've started falling apart I'm not savoring life Take the pieces and build them skywards I've forgotten how good it could be to feel alive Take the pieces and build them skywards I've started falling apart I'm not savoring life Take the pieces and build them skywards I've forgotten how good it could be to feel alive Take the pieces and build them skywards Take the pieces and build them skywards And take the pieces and build them skywards And take the pieces and build them up to the sky",,,,,,,,,
20,"Last night I thought of you Years ago, when bodies grew An empty home A vacant Hell I knew you in the harsh realm I thought about how it was I thought about you because I always think about you I always think about you I always think about you I always think about you I always think about you I always think about you",,,,,,,,,
21,,,,,,,,,,
22,As we fall into sequence And we're eating our young Remain silent and still for modesty When the splints have been broken And they can't help you now Do you pray with your eyes closed naturally Follow me into nowhere Woven with the utmost care If I'm lost please don't find me If I jump let me sink We descended from no one With a wink When it's cold outside hold me Don't hold me When I choose to rest my eyes coax me Don't coax me When it's cold outside hold me Don't hold me When I choose to rest my eyes coax me Don't coax me Follow me into nowhere Woven with the utmost care Have they cleansed you with chloride And scrubbed behind the knees Has your body been hollowed by the breeze,,,,,,,,,
23,,,,,,,,,,
24,"Show me how you do that trick The one that makes me scream he said The one that makes me laugh he said And threw his arms around my neck Show me how you do it And I promise you I promise that I'll run away with you I'll run away with you Spinning on that dizzy edge I kissed his face and kissed his head And dreamed of all the different ways I had To make him glow Why are you so far away? he said Why won't you ever know that I'm in love with you That I'm in love with you You, soft and only You, lost and lonely You, strange as angels Dancing in the deepest oceans Twisting in the water You're just like a dream You're just like a dream Daylight licked me into shape I must have been asleep for days And moving lips to breathe his name I opened up my eyes And found myself alone alone Alone above a raging sea That stole the only boy I loved And drowned him deep inside of me You, soft and only You, lost and lonely You, just like heaven You, soft and only You, lost and lonely You, just like heaven",,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,"My body is sanctuary My blood is pure (Do doo do do doo do doo) You want me bad I think you’re cool But I’m not sure (Do doo do do doo do doo) Follow me Don’t be such a holy fool Follow me I need something more from you It’s not about sex or champagne You holy fool If you want me Meet me at Electric Chapel If you want me Meet me at Electric Chapel If you wanna steal my heart away Meet me, meet me baby in a safe place Come on meet me In Electric Chapel Confess to me where you have been Next to the bar (Do doo do do doo do doo) Pray for your sins Right under the glass disco ball (Do doo do do doo do doo) Follow me Don’t be such a holy fool Follow me I need something sacred from you Together we’ll both find a way To make a pure love work in a dirty way If you want me Meet me at Electric Chapel If you want me Meet me at Electric Chapel If you wanna steal my heart away Meet me, meet me baby in a safe place Come on meet me In Electric Chapel Oh oh oh oh Oh oh oh oh If you want me Meet me at Electric Chapel If you want me Meet me at Electric Chapel If you wanna steal my heart away Meet me, meet me baby in a safe place Come on meet me In Electric Chapel",,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,I'm not calling you a liar Just don't lie to me I'm not calling you a thief Just don't steal from me I'm not calling you a ghost Just stop haunting me And I love you so much I'm gonna let you Kill me There's a ghost in my lungs And it sighs in my sleep Wraps itself around my tongue As it softly speaks Then it walks then it walks with my legs To fall To fall To fall at your feet Oh but for the grace of god go on And when you kiss me I'm happy enough to die I'm not calling you a liar Just don't lie to me And I love you so much I'm gonna let you I'm not calling you a thief Just don't And I love you so much I'm gonna let you Oh I'm not calling you a ghost Just don't There's a ghost in my mouth And it talks in my sleep Wraps itself around my tongue As it softly speaks Then it walks then it walks Then it walks with my legs To fall To fall To fall To fall To fall To fall at your feet Oh but for the grace of god go on And when you kiss me I'm happy enough,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,"She said ""I'll throw myself away, They're just photos after all"" I can't make you hang around. I can't wash you off my skin. Outside the frame, is what we're leaving out You won't remember anyway I can go with the flow But don't say it doesn't matter anymore I can go with the flow Do you believe it in your head? It's so safe to play along Little soldiers in a row Falling in and out of love With something sweet to throw away. But I want something good to die for To make it beautiful to live. I want a new mistake, lose is more than hesitate. Do you believe it in your head? I can go with the flow But don't say it doesn't matter anymore I can go with the flow Do you believe it in your head?",,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,"Hold on to love, that is what I do Now that I've found you And from above, everything's stinking They're not around you And in the night I could be helpless I could be lonely, sleeping without you And in the day, everything's complex There's nothing simple when I'm not around you And I miss you, when you're gone That is what I do, bay-, bay-, babe And it's going to carry on That is what I knew, bay-, bay-, baby Hold on to my hands I feel I'm sinking, sinking without you And to my mind, everything's stinking Stinking without you And in the night I could be helpless I could be lonely, slipping without you And in the day, everything's complex There's nothing simple when I'm not around you And I miss you, when you're gone That is what I do, bay-, bay-, babe And it's going to carry on That is what I knew, bay-, bay-, baby Bay-, bay-, baby Bay-, bay-, babe",,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,"Light up the wheels and go for broke Stomp that pedal with a sniftin stroke Smack that roadblock caught in a pickle I'm gonna hit that line like old Dick Trickle Well my motor's fine and this train's on time and when i cross that line i'm gonna make you mine I'm stroker ace, stroker ace, stroker ace Well it smells like poop and it sure looks crappy Gotta get back to north pappy flappy Well it's one a.m. and I'm rollin' in the car now Gonna hit last call down at the bar now Got a shammy in my pocket and it's burnin' a hole Stick it the floor and watch me roll Well my motor's fine and this train's on time and when i cross that line I'm gonna make you mine I'm stroker ace, stroker ace, stroker ace Well it smells like poop and it sure looks crappy Gotta get back to north pappy flappy",,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
