,0,1,2,3
0,"Yeah I know sometimes things may not always make sense to you right now But hey, what daddy always tell you? Straighten up little soldier Stiffen up that upper lip What you crying about? You got me Hailie I know you miss your mom and I know you miss your dad When I'm gone but I'm trying to give you the life that I never had I can see you're sad, even when you smile, even when you laugh I can see it in your eyes, deep inside you want to cry 'Cause you're scared, I ain't there? Daddy's with you in your prayers No more crying, wipe them tears Daddy's here, no more nightmares We gonna pull together through it, we gonna do it Laney uncles crazy, ain't he? Yeah but he loves you girl and you better know it We're all we got in this world When it spins, when it swirls When it whirls, when it twirls Two little beautiful girls Lookin' puzzled, in a daze I know it's confusing you Daddy's always on the move, mamma's always on the news I try to keep you sheltered from it but somehow it seems The harder that I try to do that, the more it backfires on me All the things growing up his daddy that he had to see Daddy don't want you to see but you see just as much as he did We did not plan it to be this way, your mother and me But things have gotten so bad between us I don't see us ever being together ever again Like we used to be when we was teenagers But then of course everything always happens for a reason I guess it was never meant to be But it's just something we have no control over and that's what destiny is But no more worries, rest your head and go to sleep Maybe one day we'll wake up and this will all just be a dream Now hush little baby, don't you cry Everything's gonna be alright Stiffen that upper lip up little lady, I told ya Daddy's here to hold ya through the night I know mommy's not here right now and we don't know why We fear how we feel inside It may seem a little crazy, pretty baby But I promise momma's gonna be alright It's funny I remember back one year when daddy had no money Mommy wrapped the christmas presents up And stuck 'em under the tree and said some of 'em were from me 'Cause daddy couldn't buy 'em I'll never forget that christmas I sat up the whole night crying 'Cause daddy felt like a bum, see daddy had a job But his job was to keep the food on the table for you and mom And at the time every house that we lived in Either kept getting broke into and robbed Or shot up on the block and your mom was saving money for you in a jar Tryin' to start a piggy bank for you so you could go to college Almost had a thousand dollars till someone broke in and stole it And I know it hurt so bad it broke your momma's heart And it seemed like everything was just startin' to fall apart Mom and dad was arguin' a lot so momma moved back On the chalmers in the flat one bedroom apartment And dad moved back to the other side of 8 mile on Novara And that's when daddy went to california with his CD and met Dr. Dre And flew you and momma out to see me But daddy had to work, you and momma had to leave me Then you started seeing daddy on the t.V. And momma didn't like it And you and Laney were to young to understand it Papa was a rollin' stone, momma developed a habit And it all happened too fast for either one of us to grab it I'm just sorry you were there and had to witness it first hand 'Cause all I ever wanted to do was just make you proud Now I'm sittin' in this empty house, just reminiscing Lookin' at your baby pictures, it just trips me out To see how much you both have grown, it's almost like you're sisters now Wow, guess you pretty much are and daddy's still here Laney I'm talkin' to you too, daddy's still here I like the sound of that, yeah It's got a ring to it don't it? Shh, momma's only gone for the moment Now hush little baby, don't you cry Everything's gonna be alright Stiffen that upper lip up little lady, I told ya Daddy's here to hold ya through the night I know mommy's not here right now and we don't know why We fear how we feel inside It may seem a little crazy, pretty baby But I promise momma's gonna be alright And if you ask me too Daddy's gonna buy you a mockingbird Ima give you the world Ima buy a diamond ring for you Ima sing for you I'll do anything for you to see you smile And if that mockingbird don't sing and that ring don't shine Ima break that birdies neck I'd go back to the jeweler who sold it to ya And make him eat every carat don't f*** with dad (ha)",,,
1,,,,
2,"I wanted you to know I love the way you laugh I want to hold you high and steal your pain away I keep your photograph, and I know it serves me well I want to hold you high and steal your pain 'Cause I'm broken when I'm lonesome And I don't feel right when you've gone away You've gone away You don't feel me here anymore The worst is over now and we can breathe again I want to hold you high, and steal my pain away There's so much left to learn, and no one left to fight I want to hold you high and steal your pain 'Cause I'm broken when I'm open And I don't feel like I am strong enough 'Cause I'm broken when I'm lonesome And I don't feel right when you're gone away 'Cause I'm broken when I'm open And I don't feel like I am strong enough 'Cause I'm broken when I'm lonesome And I don't feel right when you're gone away 'Cause I'm broken when I'm lonesome And I don't feel right when you're gone away You've gone away You don't feel me here anymore",,,
3,,,,
4,"I'm done with everyone I'm sick of everything I'm living on the blink of the God In a web of lies and deceit I've lost all sense of my reality Everyone is just a critic, a saint So judge me if you wanna but you won't destroy me This time let's get it started Dying on my knees Call me pathetic but I got good company I'm not alone Nothing to believe I'm just a loser Don't you try and save me now Kiss it all goodbye and forget about me I'm over listening I don't need anything I'm a classic train wreck walking I'm deaf to the words they're talking I'm locked in this prison of society This world's full of liars and cheats So call me what you wanna but you won't destroy me This time let's get it started Dying on my knees Call me pathetic but I got good company I'm not alone Nothing to believe I'm just a loser Don't you try and save me now Kiss it all goodbye and forget about me I said forget me! Forget about me! Oh! Dying on my knees Call me pathetic but I got good company I'm not alone Nothing to believe I'm just a loser Don't you try and save me now Kiss it all goodbye and forget about me Kiss it all goodbye and forget about me",,,
5,,,,
6,,,,
7,,,,
8,,,,
9,,,,
10,,,,
11,,,,
12,,,,
13,,,,
14,,,,
15,"Secrets buried deep at the bottom of my heart And beaten throughout every color of my life, I fall apart I don't belong, I don't fit in I'm dead and gone, I thought that I could wait I'm holding on to what's within I'm coming strong with everything I can Reaching, does anyone still believe in who I am? Bleeding, every part of me is being taken from deep within Understand, it's who I am I don't belong, I don't fit in I'm dead and gone, I thought that I could wait I'm holding on to what's within I'm coming strong with everything I can I don't belong, I don't fit in I'm dead and gone, I thought that I could wait I'll find my way out, I know it can't be long My end of days I'm hoping will be gone I don't belong, I don't fit in I'm dead and gone, I thought that I could wait I'm holding on to what's within I'm coming strong with everything I can I don't belong, I don't fit in I'm dead and gone, I thought that I could wait I'm holding on to what's within I'm coming strong with everything I can Understand, it's who I am",,,
16,,,,
17,"He wants to die in a lake in Geneva The mountains can cover the shape of his nose He wants to die where nobody can see him But the beauty of his death will carry on so I don't believe him He greets me with kisses when good days deceive him And sometimes we're scorned and sometimes I believe him And sometimes I'm convinced, my friends think I'm crazy Get scared and call him but he's usually hazy At one in the morning, day is not ended By two he is scared that sleep is no friend And by four he will drink but he cannot feel it Sleep will not come because sleep does not will it And I don't believe him, morning is mocking me I?ll wander the streets, avoiding them eats ?Til the ring on my finger slips to the ground A gift to the gutter, a gift to the city The veins of which have broken me down And I don't believe him, morning is mocking me Oh, the Gods that he believes never fail to amaze me He believes in the love of his God of all things But I find him wrapped up in all manner of sins The drugs that deceive him and the girls that believe him I can't control you, I don't know you well These are the reasons I think that you're ill I can't control you, I don't know you well These are the reasons I think that you're ill And since last that we parted Last that I saw him down by a river Silent and hardened Morning was mocking us, blood hit the sky I was just happy, my manic and I He couldn't see me, the sun was in his eyes And birds were singing to calm us down And birds were singing to calm us down And I'm sorry young man, I cannot be your friend I don't believe in a fairytale end I don't keep my head up all of the time I find it dull when my heart meets my mind And I hardly know you, I think I can tell These are the reasons I think that we're ill I hardly know you, I think I can tell These are the reasons I think that I'm ill And the Gods that he believes never fail to disappoint me The Gods that he believes never fail to disappoint me My nihilist, my happy man, my manic and I Have no plans to move on But birds are singing to calm us down And birds are singing to calm us down",,,
18,,,,
19,"Talking You can't kill the metal The metal will live on Punk-Rock tried to kill the metal But they failed, as they were smite to the ground New-wave tried to kill the metal But they failed, as they were striken down to the ground Grunge tried to kill the metal Ha, ha, ha, ha, ha, ha They failed, as they were thrown to the ground (argh ... yea!) x2 Singing No-one can destroy the metal The metal will strike you down with a vicious blow We are the vanquished foes of the metal We tried to win for why we do not know New-wave tried to destroy the metal, but the metal had its way Grunge then tried to dethrone the metal, but metal was in the way Punk-rock tried to destroy the metal, but metal was much too strong Techno tried to defile the metal, but techno was proven wrong Yea! Metal! It comes from hell!",,,
