post,username,mbti,titles_all
1,crazysah, Unknown Personality,['What Song are you listening to now? I am currently listening to Oasis - Falling Down Crazysah']
2,happy, Unknown,"[""Daddy Wasn't There""]"
3,snail, INFP - The Idealists,[]
4,trope, INTP - The Thinkers,['LOOK FOR THE WOMAN - dan le sac Vs Scroobius Pip ']
5,snail, INFP - The Idealists,[]
6,nephilimazrael, INTJ - The Scientists,[]
7,lunniey, INFJ - The Protectors,[]
8,crazysah, Unknown Personality,['Better Than This - Keane']
9,sandova,,[]
10,sandova,,['Feist - Secret Heart ']
11,t-guy, ESTJ - The Guardians,['Rolling Stones - Sympathy for the Devil']
12,happy, Unknown,['The Foundations - Build Me Up Buttercup ']
13,snail, INFP - The Idealists,[]
14,nephilimazrael, INTJ - The Scientists,[]
15,snail, INFP - The Idealists,[]
16,behope, INTP - The Thinkers,[]
17,snail, INFP - The Idealists,['Natural Hallucinogen ']
18,happy, Unknown,[]
19,daylightsun, ENTJ - The Executives,['Modest Mouse - Dashboard']
20,surreal-breakfast, INFP - The Idealists,['The Ballad of You Me &amp; Pooneil - Jefferson Airplane']
21,crazysah, Unknown Personality,['Radiohead - Nude']
22,trope, INTP - The Thinkers,[' Come Together - Sungha Jung']
23,aurora-fire, INFP - The Idealists,['Muse- Ruled by Secrecy - KROQ Almost Acoustic Christmas 2007']
24,behope, INTP - The Thinkers,"[""Linger Fickin' Good- The Revolting Cocks""]"
25,aurora-fire, INFP - The Idealists,[]
26,nightriser, Unknown Personality,"[""Don't Fear the Reaper--Blue Oyster Cult""]"
27,surreal-breakfast, INFP - The Idealists,"[""One of These Days (I'm Going To Cut You Into Little Pieces) - Pink Foyd""]"
28,behope, INTP - The Thinkers,['Soul Sucking Jerk-Beck']
29,allthatjazz,,['heers-someone still loves you boris yeltsin']
30,athenian200, INFJ - The Protectors,['Tragic Anthem']
31,slowriot, INTP - The Thinkers,['In Peak Fitness Condition - Spleen United']
32,mystic-jenn, INFJ - The Protectors,[]
33,mystic-jenn, INFJ - The Protectors,[' Come Together - Sungha Jung']
34,addle1618, INFJ - The Protectors,['Antichrist Television Blues - Arcade Fire']
35,mystic-jenn, INFJ - The Protectors,['Tragic Anthem']
36,mystic-jenn, INFJ - The Protectors,['Natural Hallucinogen ']
37,mystic-jenn, INFJ - The Protectors,['Animals by Coldplay']
38,mystic-jenn, INFJ - The Protectors,['Joe Anderson - Hey Jude ']
39,slowriot, INTP - The Thinkers,['Last.fm/presents The Walkmen - In The New Year']
40,stickynotee, Unknown Personality,[]
41,happy, Unknown,[]
42,snail, INFP - The Idealists,['Neutral Milk Hotel - The King of Carrot Flowers Pt. I']
43,surreal-breakfast, INFP - The Idealists,"[""Science Fiction Double Feature - Richard O'Brien (I love this song!!!!!!)""]"
44,surreal-breakfast, INFP - The Idealists,[]
45,nephilimazrael, INTJ - The Scientists,[]
